-1.24960959,49.9843826,0,2.62E-34,1.06E-34,5.31E-35
-1.34957886,49.9817848,0,0.000313116,-0.00567877,-0.000869876
-1.44954264,49.9789848,0,0.000635732,-0.0113412,-0.00166147
-1.5495007,49.9759865,0,0.000967661,-0.0169876,-0.00237633
-1.64945257,49.9727859,0,0.00130909,-0.0226176,-0.00301291
-1.74939775,49.9693871,0,0.00165982,-0.0282315,-0.00357285
-1.84933603,49.965786,0,0.00202005,-0.0338289,-0.00405457
-1.94926691,49.9619904,0,0.00238941,-0.0394104,-0.00446111
-2.04919004,49.9579887,0,0.00276843,-0.044975,-0.00478803
-2.14910483,49.9537926,0,0.00315656,-0.0505237,-0.00503986
-2.24901104,49.9493942,0,0.00355418,-0.0560557,-0.00521358
-2.34890842,49.9447975,0,0.00396109,-0.0615713,-0.00531075
-2.44879627,49.9399986,0,0.00437747,-0.0670702,-0.00532991
-2.54867435,49.9350014,0,0.00480313,-0.0725527,-0.00527257
-2.64854217,49.9298019,0,0.00523827,-0.0780184,-0.00513722
-2.7483995,49.9244041,0,0.00568267,-0.0834675,-0.00492544
-2.84824562,49.918808,0,0.00613635,-0.0889001,-0.00463724
-2.94808054,49.9130135,0,0.0065993,-0.094316,-0.00427261
-3.04790378,49.9070168,0,0.0070717,-0.0997151,-0.00383012
-3.14771461,49.9008217,0,0.00755336,-0.105097,-0.00331124
-3.24751282,49.8944244,0,0.00804446,-0.110463,-0.00271455
-3.34729815,49.8878288,0,0.0085448,-0.115811,-0.00204157
-3.44707012,49.8810349,0,0.00905438,-0.121143,-0.00129233
-3.54682827,49.8740425,0,0.00957322,-0.126458,-0.000466773
-3.64657235,49.866848,0,0.0101015,-0.131755,0.000436459
-3.74630165,49.8594551,0,0.0106389,-0.137036,0.00141592
-3.84601617,49.8518639,0,0.0111856,-0.1423,0.00247153
-3.94571495,49.8440704,0,0.0117417,-0.147546,0.00360484
-4.04539824,49.8360786,0,0.012307,-0.152776,0.00481425
-4.14506531,49.8278885,0,0.0128815,-0.157988,0.00609974
-4.24471569,49.8195,0,0.0134652,-0.163183,0.00746133
-4.34434938,49.8109093,0,0.0140583,-0.168361,0.00890046
-4.44396544,49.8021202,0,0.0146606,-0.173521,0.0104156
-4.54356384,49.7931328,0,0.015272,-0.178665,0.0120068
-4.64314365,49.783947,0,0.0158926,-0.18379,0.013674
-4.74270535,49.774559,0,0.0165225,-0.188899,0.0154186
-4.84224796,49.7649727,0,0.0171616,-0.19399,0.0172391
-4.94177103,49.755188,0,0.0178099,-0.199063,0.0191355
-5.04127455,49.7452049,0,0.0184673,-0.204119,0.0211078
-5.14075804,49.7350235,0,0.0191338,-0.209158,0.023156
-5.24022055,49.7246437,0,0.0198094,-0.214179,0.02528
-5.33966255,49.7140617,0,0.0204943,-0.219182,0.0274813
-5.43908262,49.7032852,0,0.0211882,-0.224168,0.0297569
-5.53848171,49.6923065,0,0.0218913,-0.229136,0.0321097
-5.63785791,49.6811295,0,0.0226035,-0.234087,0.0345382
-5.7372117,49.669754,0,0.0233249,-0.239019,0.0370425
-5.83654308,49.6581802,0,0.0240552,-0.243934,0.0396224
-5.93585062,49.6464081,0,0.0247947,-0.248831,0.042278
-6.03513432,49.6344337,0,0.0255433,-0.25371,0.0450107
-6.13439417,49.6222649,0,0.0263008,-0.258572,0.0478175
-6.23362923,49.6098976,0,0.0270674,-0.263415,0.0507
-6.33283949,49.5973282,0,0.0278431,-0.26824,0.0536594
-6.43202448,49.5845642,0,0.0286277,-0.273048,0.0566929
-6.53118372,49.5716019,0,0.0294213,-0.277837,0.0598019
-6.63031673,49.5584373,0,0.0302241,-0.282608,0.0629879
-6.72942352,49.5450783,0,0.0310357,-0.287362,0.0662479
-6.82850313,49.5315208,0,0.0318562,-0.292097,0.0695833
-6.92755556,49.517765,0,0.0326857,-0.296814,0.0729941
-7.02658033,49.5038109,0,0.0335241,-0.301513,0.0764802
-7.1255765,49.4896584,0,0.0343715,-0.306193,0.0800418
-7.22454453,49.4753075,0,0.0352278,-0.310856,0.0836787
-7.32348394,49.4607582,0,0.036093,-0.315499,0.0873909
-7.4223938,49.4460106,0,0.0369671,-0.320125,0.0911783
-7.52127361,49.4310684,0,0.0378499,-0.324732,0.0950396
-7.62012386,49.4159241,0,0.0387418,-0.329321,0.0989775
-7.71894312,49.4005852,0,0.0396424,-0.333892,0.102989
-7.81773186,49.3850479,0,0.0405518,-0.338444,0.107076
-7.91648912,49.3693161,0,0.0414699,-0.342977,0.111237
-8.01521492,49.3533821,0,0.0423969,-0.347492,0.115474
-8.11390877,49.3372536,0,0.0433327,-0.351989,0.119785
-8.21257019,49.3209267,0,0.0442772,-0.356467,0.124171
-8.31119823,49.3044014,0,0.0452305,-0.360926,0.128632
-8.40979385,49.2876816,0,0.0461924,-0.365366,0.133166
-8.50835514,49.2707596,0,0.0471632,-0.369788,0.137777
-8.6068821,49.2536469,0,0.0481425,-0.374191,0.14246
-8.70537567,49.2363319,0,0.0491306,-0.378575,0.14722
-8.80383396,49.2188225,0,0.0501273,-0.382941,0.152053
-8.90225697,49.2011147,0,0.0511327,-0.387288,0.156961
-9.00064373,49.1832123,0,0.0521467,-0.391616,0.161942
-9.09899521,49.1651115,0,0.0531692,-0.395925,0.166999
-9.19731045,49.1468163,0,0.0542003,-0.400215,0.172128
-9.29558849,49.1283226,0,0.05524,-0.404486,0.177333
-9.39382935,49.1096306,0,0.0562884,-0.408738,0.182612
-9.492033,49.090744,0,0.0573452,-0.412971,0.187964
